Toss Fair_Probability Biased_Probability
1 1.000000 1.000000
2 1.000000 0.500000
3 0.666667 0.666667
4 0.750000 0.750000
5 0.800000 0.800000
6 0.833333 0.833333
7 0.857143 0.714286
8 0.875000 0.750000
9 0.777778 0.777778
10 0.800000 0.800000
11 0.818182 0.818182
12 0.750000 0.833333
13 0.692308 0.846154
14 0.714286 0.857143
15 0.666667 0.866667
16 0.687500 0.812500
17 0.647059 0.823529
18 0.611111 0.777778
19 0.631579 0.789474
20 0.600000 0.800000
21 0.619048 0.809524
22 0.636364 0.772727
23 0.652174 0.782609
24 0.625000 0.750000
25 0.600000 0.720000
26 0.615385 0.692308
27 0.629630 0.703704
28 0.642857 0.678571
29 0.620690 0.689655
30 0.633333 0.700000
31 0.645161 0.677419
32 0.625000 0.687500
33 0.606061 0.666667
34 0.588235 0.676471
35 0.571429 0.685714
36 0.555556 0.694444
37 0.567568 0.702703
38 0.552632 0.710526
39 0.564103 0.692308
40 0.550000 0.675000
41 0.536585 0.658537
42 0.523810 0.666667
43 0.511628 0.651163
44 0.500000 0.659091
45 0.511111 0.666667
46 0.521739 0.673913
47 0.510638 0.680851
48 0.520833 0.687500
49 0.530612 0.673469
50 0.540000 0.680000
51 0.529412 0.686275
52 0.538462 0.673077
53 0.528302 0.679245
54 0.537037 0.685185
55 0.527273 0.672727
56 0.517857 0.660714
57 0.526316 0.666667
58 0.517241 0.655172
59 0.525424 0.661017
60 0.516667 0.666667
61 0.524590 0.655738
62 0.516129 0.661290
63 0.523810 0.666667
64 0.515625 0.671875
65 0.507692 0.676923
66 0.515152 0.666667
67 0.522388 0.671642
68 0.529412 0.676471
69 0.521739 0.681159
70 0.528571 0.671429
71 0.535211 0.661972
72 0.527778 0.652778
73 0.520548 0.657534
74 0.527027 0.662162
75 0.533333 0.653333
76 0.526316 0.657895
77 0.519481 0.662338
78 0.512821 0.666667
79 0.518987 0.658228
80 0.512500 0.662500
81 0.518519 0.666667
82 0.512195 0.670732
83 0.506024 0.662651
84 0.500000 0.654762
85 0.505882 0.658824
86 0.500000 0.662791
87 0.505747 0.666667
88 0.511364 0.659091
89 0.516854 0.662921
90 0.511111 0.666667
91 0.516484 0.659341
92 0.510870 0.663043
93 0.516129 0.666667
94 0.521277 0.659574
95 0.526316 0.663158
96 0.531250 0.656250
97 0.536082 0.659794
98 0.540816 0.663265
99 0.535354 0.656566
100 0.540000 0.660000
101 0.544554 0.663366
102 0.549020 0.666667
103 0.543689 0.669903
104 0.548077 0.673077
105 0.552381 0.666667
106 0.547170 0.669811
107 0.551402 0.672897
108 0.555556 0.666667
109 0.550459 0.669725
110 0.554545 0.672727
111 0.558559 0.666667
112 0.553571 0.669643
113 0.557522 0.672566
114 0.552632 0.666667
115 0.547826 0.669565
116 0.543103 0.672414
117 0.538462 0.675214
118 0.542373 0.677966
119 0.546218 0.680672
120 0.550000 0.683333
121 0.545455 0.677686
122 0.549180 0.680328
123 0.552846 0.674797
124 0.556452 0.677419
125 0.552000 0.680000
126 0.547619 0.682540
127 0.551181 0.677165
128 0.554688 0.679688
129 0.550388 0.682171
130 0.546154 0.684615
131 0.549618 0.679389
132 0.545455 0.681818
133 0.548872 0.684211
134 0.552239 0.686567
135 0.555556 0.688889
136 0.558824 0.691176
137 0.562044 0.693431
138 0.557971 0.695652
139 0.561151 0.690647
140 0.557143 0.692857
141 0.553191 0.695035
142 0.556338 0.697183
143 0.552448 0.692308
144 0.555556 0.694444
145 0.558621 0.696552
146 0.561644 0.698630
147 0.557823 0.693878
148 0.554054 0.695946
149 0.557047 0.697987
150 0.553333 0.700000
151 0.556291 0.701987
152 0.559211 0.703947
153 0.555556 0.705882
154 0.558442 0.707792
155 0.554839 0.709677
156 0.551282 0.705128
157 0.554140 0.707006
158 0.556962 0.702532
159 0.553459 0.698113
160 0.550000 0.693750
161 0.552795 0.689441
162 0.549383 0.691358
163 0.546012 0.687117
164 0.542683 0.689024
165 0.545455 0.684848
166 0.542169 0.686747
167 0.538922 0.688623
168 0.541667 0.690476
169 0.538462 0.692308
170 0.535294 0.694118
171 0.532164 0.690058
172 0.534884 0.686047
173 0.531792 0.687861
174 0.528736 0.683908
175 0.525714 0.680000
176 0.528409 0.681818
177 0.531073 0.683616
178 0.533708 0.685393
179 0.530726 0.687151
180 0.527778 0.688889
181 0.530387 0.690608
182 0.527473 0.692308
183 0.530055 0.693989
184 0.532609 0.695652
185 0.529730 0.697297
186 0.532258 0.698925
187 0.534759 0.700535
188 0.537234 0.696809
189 0.534392 0.693122
190 0.536842 0.694737
191 0.534031 0.691099
192 0.531250 0.692708
193 0.533679 0.694301
194 0.536082 0.690722
195 0.533333 0.692308
196 0.535714 0.693878
197 0.532995 0.695431
198 0.530303 0.696970
199 0.532663 0.693467
200 0.530000 0.695000
201 0.532338 0.696517
202 0.529703 0.698020
203 0.532020 0.699507
204 0.529412 0.700980
205 0.526829 0.697561
206 0.524272 0.694175
207 0.521739 0.695652
208 0.519231 0.692308
209 0.516746 0.693780
210 0.514286 0.690476
211 0.516588 0.691943
212 0.518868 0.688679
213 0.521127 0.690141
214 0.518692 0.691589
215 0.516279 0.688372
216 0.518519 0.689815
217 0.516129 0.691244
218 0.513761 0.688073
219 0.511416 0.689498
220 0.513636 0.690909
221 0.511312 0.692308
222 0.513514 0.693694
223 0.515695 0.695067
224 0.517857 0.691964
225 0.520000 0.693333
226 0.522124 0.694690
227 0.524229 0.696035
228 0.526316 0.692982
229 0.528384 0.694323
230 0.526087 0.695652
231 0.528139 0.696970
232 0.525862 0.698276
233 0.527897 0.695279
234 0.529915 0.692308
235 0.531915 0.693617
236 0.529661 0.694915
237 0.531646 0.691983
238 0.529412 0.693277
239 0.527197 0.690377
240 0.525000 0.691667
241 0.526971 0.688797
242 0.524793 0.690083
243 0.522634 0.691358
244 0.524590 0.688525
245 0.526531 0.689796
246 0.524390 0.691057
247 0.526316 0.692308
248 0.524194 0.693548
249 0.526104 0.694779
250 0.524000 0.696000
251 0.521912 0.693227
252 0.519841 0.690476
253 0.517787 0.687747
254 0.519685 0.688976
255 0.521569 0.686275
256 0.523438 0.687500
257 0.525292 0.688716
258 0.523256 0.689922
259 0.525097 0.691120
260 0.523077 0.692308
261 0.524904 0.689655
262 0.522901 0.690840
263 0.524715 0.688213
264 0.526515 0.689394
265 0.524528 0.690566
266 0.522556 0.691729
267 0.520599 0.689139
268 0.518657 0.690299
269 0.516729 0.691450
270 0.514815 0.688889
271 0.512915 0.690037
272 0.511029 0.691176
273 0.509158 0.688645
274 0.510949 0.689781
275 0.512727 0.690909
276 0.510870 0.692029
277 0.509025 0.689531
278 0.507194 0.687050
279 0.505376 0.688172
280 0.507143 0.689286
281 0.508897 0.690391
282 0.510638 0.687943
283 0.508834 0.689046
284 0.507042 0.690141
285 0.505263 0.691228
286 0.506993 0.692308
287 0.505226 0.693380
288 0.506944 0.694444
289 0.508651 0.695502
290 0.510345 0.696552
291 0.508591 0.697595
292 0.510274 0.695205
293 0.508532 0.692833
294 0.506803 0.693878
295 0.508475 0.694915
296 0.506757 0.695946
297 0.505051 0.696970
298 0.506711 0.697987
299 0.508361 0.698997
300 0.506667 0.696667
301 0.508306 0.697674
302 0.509934 0.695364
303 0.511551 0.696370
304 0.509868 0.697368
305 0.508197 0.698361
306 0.506536 0.696078
307 0.508143 0.697068
308 0.509740 0.698052
309 0.511327 0.695793
310 0.512903 0.696774
311 0.514469 0.694534
312 0.512821 0.692308
313 0.511182 0.690096
314 0.509554 0.691083
315 0.507937 0.688889
316 0.509494 0.689873
317 0.507886 0.690852
318 0.506289 0.691824
319 0.504702 0.692790
320 0.506250 0.693750
321 0.504673 0.694704
322 0.503106 0.695652
323 0.501548 0.696594
324 0.503086 0.694444
325 0.501538 0.695385
326 0.503067 0.696319
327 0.504587 0.694190
328 0.503049 0.695122
329 0.501520 0.696049
330 0.500000 0.696970
331 0.498489 0.697885
332 0.496988 0.698795
333 0.495495 0.699700
334 0.497006 0.697605
335 0.495522 0.698507
336 0.494048 0.699405
337 0.495549 0.700297
338 0.497041 0.701183
339 0.498525 0.699115
340 0.500000 0.700000
341 0.498534 0.700880
342 0.497076 0.701754
343 0.495627 0.702624
344 0.494186 0.703488
345 0.492754 0.704348
346 0.491329 0.705202
347 0.489914 0.706052
348 0.491379 0.706897
349 0.492837 0.707736
350 0.494286 0.705714
351 0.492877 0.706553
352 0.491477 0.707386
353 0.492918 0.708215
354 0.494350 0.709040
355 0.495775 0.709859
356 0.494382 0.710674
357 0.492997 0.711485
358 0.491620 0.712291
359 0.490251 0.713092
360 0.491667 0.711111
361 0.493075 0.711911
362 0.494475 0.712707
363 0.495868 0.713499
364 0.497253 0.714286
365 0.495890 0.712329
366 0.494536 0.713115
367 0.495913 0.713896
368 0.497283 0.711957
369 0.498645 0.712737
370 0.500000 0.713514
371 0.501348 0.714286
372 0.500000 0.712366
373 0.501340 0.713137
374 0.502674 0.713904
375 0.501333 0.712000
376 0.500000 0.712766
377 0.501326 0.713528
378 0.502646 0.714286
379 0.503958 0.715040
380 0.502632 0.715789
381 0.503937 0.713911
382 0.502618 0.712042
383 0.501305 0.712794
384 0.502604 0.713542
385 0.501299 0.714286
386 0.502591 0.715026
387 0.501292 0.713178
388 0.500000 0.711340
389 0.501285 0.709512
390 0.502564 0.710256
391 0.503836 0.710997
392 0.505102 0.711735
393 0.506361 0.712468
394 0.507614 0.713198
395 0.508861 0.711392
396 0.507576 0.712121
397 0.506297 0.712846
398 0.505025 0.711055
399 0.503759 0.709273
400 0.502500 0.710000
401 0.503741 0.710723
402 0.504975 0.711443
403 0.506203 0.709677
404 0.504950 0.707921
405 0.503704 0.706173
406 0.502463 0.706897
407 0.501229 0.707617
408 0.500000 0.708333
409 0.501222 0.709046
410 0.502439 0.709756
411 0.503650 0.710462
412 0.504854 0.708738
413 0.503632 0.709443
414 0.504831 0.707729
415 0.506024 0.706024
416 0.504808 0.704327
417 0.505995 0.705036
418 0.507177 0.705742
419 0.505967 0.706444
420 0.504762 0.707143
421 0.505938 0.707838
422 0.507109 0.706161
423 0.505910 0.706856
424 0.507075 0.707547
425 0.505882 0.705882
426 0.507042 0.706573
427 0.508197 0.707260
428 0.509346 0.707944
429 0.508159 0.708625
430 0.509302 0.709302
431 0.508121 0.709977
432 0.509259 0.710648
433 0.508083 0.711316
434 0.509217 0.711982
435 0.510345 0.710345
436 0.511468 0.711009
437 0.510297 0.709382
438 0.509132 0.707763
439 0.507973 0.708428
440 0.506818 0.709091
441 0.507937 0.709751
442 0.509050 0.710407
443 0.507901 0.708804
444 0.506757 0.709459
445 0.505618 0.710112
446 0.506726 0.708520
447 0.505593 0.706935
448 0.506696 0.707589
449 0.505568 0.708241
450 0.506667 0.708889
451 0.507761 0.709534
452 0.506637 0.707965
453 0.505519 0.708609
454 0.506608 0.709251
455 0.507692 0.707692
456 0.506579 0.708333
457 0.507659 0.706783
458 0.508734 0.705240
459 0.509804 0.705882
460 0.508696 0.704348
461 0.509761 0.704989
462 0.510823 0.705628
463 0.509719 0.706263
464 0.508621 0.704741
465 0.509677 0.703226
466 0.510730 0.701717
467 0.509636 0.700214
468 0.510684 0.698718
469 0.509595 0.699360
470 0.510638 0.700000
471 0.511677 0.700637
472 0.510593 0.699153
473 0.511628 0.697674
474 0.510549 0.696203
475 0.509474 0.696842
476 0.508403 0.697479
477 0.509434 0.698113
478 0.510460 0.696653
479 0.511482 0.697286
480 0.512500 0.697917
481 0.511435 0.698545
482 0.512448 0.699170
483 0.513458 0.699793
484 0.514463 0.698347
485 0.515464 0.698969
486 0.514403 0.697531
487 0.515400 0.698152
488 0.514344 0.698770
489 0.515337 0.699387
490 0.514286 0.697959
491 0.515275 0.698574
492 0.514228 0.697154
493 0.515213 0.697769
494 0.516194 0.696356
495 0.515152 0.696970
496 0.514113 0.697581
497 0.513078 0.698189
498 0.512048 0.698795
499 0.513026 0.699399
500 0.512000 0.700000
501 0.510978 0.700599
502 0.509960 0.699203
503 0.508946 0.699801
504 0.509921 0.698413
505 0.508911 0.699010
506 0.507905 0.699605
507 0.508876 0.700197
508 0.509843 0.698819
509 0.510806 0.697446
510 0.511765 0.698039
511 0.510763 0.698630
512 0.509766 0.699219
513 0.508772 0.699805
514 0.507782 0.700389
515 0.508738 0.699029
516 0.507752 0.699612
517 0.508704 0.700193
518 0.509653 0.698842
519 0.510597 0.699422
520 0.511538 0.698077
521 0.510557 0.696737
522 0.511494 0.697318
523 0.510516 0.697897
524 0.509542 0.696565
525 0.508571 0.697143
526 0.509506 0.695817
527 0.510436 0.696395
528 0.509470 0.696970
529 0.510397 0.697543
530 0.511321 0.698113
531 0.510358 0.698682
532 0.511278 0.697368
533 0.512195 0.696060
534 0.511236 0.696629
535 0.512150 0.695327
536 0.511194 0.695896
537 0.512104 0.694600
538 0.513011 0.695167
539 0.513915 0.695733
540 0.514815 0.694444
541 0.515712 0.695009
542 0.514760 0.695572
543 0.513812 0.694291
544 0.512868 0.694853
545 0.513761 0.693578
546 0.514652 0.692308
547 0.513711 0.691042
548 0.514599 0.689781
549 0.513661 0.688525
550 0.514545 0.687273
551 0.515426 0.686025
552 0.514493 0.684783
553 0.513562 0.685353
554 0.512635 0.685921
555 0.513514 0.686486
556 0.512590 0.687050
557 0.513465 0.685817
558 0.512545 0.684588
559 0.513417 0.683363
560 0.512500 0.682143
561 0.511586 0.682709
562 0.510676 0.681495
563 0.509769 0.682060
564 0.508865 0.680851
565 0.509735 0.681416
566 0.508834 0.681979
567 0.507937 0.682540
568 0.508803 0.681338
569 0.507909 0.680141
570 0.507018 0.680702
571 0.507881 0.681261
572 0.506993 0.681818
573 0.507853 0.682373
574 0.506969 0.682927
575 0.506087 0.683478
576 0.506944 0.682292
577 0.507799 0.681109
578 0.506920 0.681661
579 0.506045 0.680484
580 0.505172 0.681034
581 0.504303 0.681583
582 0.503436 0.682131
583 0.504288 0.682676
584 0.505137 0.681507
585 0.504274 0.680342
586 0.505119 0.680887
587 0.504259 0.681431
588 0.503401 0.681973
589 0.504244 0.682513
590 0.505085 0.681356
591 0.504230 0.681895
592 0.503378 0.680743
593 0.502530 0.681282
594 0.503367 0.681818
595 0.504202 0.682353
596 0.505034 0.682886
597 0.504188 0.683417
598 0.505017 0.683946
599 0.505843 0.684474
600 0.506667 0.685000
601 0.507488 0.683860
602 0.508306 0.682724
603 0.509121 0.683250
604 0.508278 0.683775
605 0.507438 0.684298
606 0.508251 0.684818
607 0.507414 0.685338
608 0.508224 0.684211
609 0.507389 0.684729
610 0.506557 0.683607
611 0.507365 0.682488
612 0.506536 0.683007
613 0.505710 0.683524
614 0.506515 0.682410
615 0.505691 0.682927
616 0.506494 0.683442
617 0.507293 0.682334
618 0.506472 0.681230
619 0.507270 0.680129
620 0.508065 0.680645
621 0.507246 0.681159
622 0.506431 0.680064
623 0.505618 0.680578
624 0.506410 0.681090
625 0.505600 0.680000
626 0.504792 0.678914
627 0.505582 0.679426
628 0.506369 0.678344
629 0.505564 0.677266
630 0.504762 0.676190
631 0.505547 0.676704
632 0.504747 0.677215
633 0.503949 0.677725
634 0.504732 0.676656
635 0.503937 0.677165
636 0.504717 0.677673
637 0.505495 0.678179
638 0.504702 0.678683
639 0.503912 0.679186
640 0.503125 0.678125
641 0.503900 0.677067
642 0.504673 0.677570
643 0.503888 0.676516
644 0.504658 0.677019
645 0.505426 0.677519
646 0.504644 0.678019
647 0.505410 0.676971
648 0.506173 0.677469
649 0.506934 0.676425
650 0.506154 0.675385
651 0.506912 0.675883
652 0.506135 0.676380
653 0.505360 0.675345
654 0.506116 0.674312
655 0.506870 0.673282
656 0.506098 0.672256
657 0.505327 0.672755
658 0.504559 0.673252
659 0.505311 0.673748
660 0.506061 0.674242
661 0.506808 0.674735
662 0.506042 0.675227
663 0.506787 0.675716
664 0.506024 0.676205
665 0.505263 0.675188
666 0.506006 0.675676
667 0.506747 0.676162
668 0.505988 0.675150
669 0.505232 0.675635
670 0.504478 0.674627
671 0.505216 0.673621
672 0.505952 0.674107
673 0.506686 0.673105
674 0.507418 0.673591
675 0.508148 0.674074
676 0.507396 0.674556
677 0.508124 0.673560
678 0.508850 0.672566
679 0.508100 0.673049
680 0.508824 0.673529
681 0.508076 0.674009
682 0.507331 0.673021
683 0.508053 0.672035
684 0.508772 0.672515
685 0.509489 0.672993
686 0.508746 0.673469
687 0.509461 0.672489
688 0.510174 0.671512
689 0.510885 0.671988
690 0.510145 0.672464
691 0.509407 0.672938
692 0.510116 0.673410
693 0.510823 0.673882
694 0.511527 0.674352
695 0.512230 0.674820
696 0.512931 0.675287
697 0.512195 0.675753
698 0.512894 0.674785
699 0.512160 0.673820
700 0.512857 0.674286
701 0.513552 0.674750
702 0.514245 0.673789
703 0.514936 0.672831
704 0.514205 0.671875
705 0.513475 0.672340
706 0.514164 0.672805
707 0.514851 0.671853
708 0.514124 0.672316
709 0.513399 0.672779
710 0.514085 0.671831
711 0.514768 0.672293
712 0.515449 0.672753
713 0.516129 0.671809
714 0.515406 0.672269
715 0.516084 0.672727
716 0.515363 0.671788
717 0.516039 0.670851
718 0.515320 0.671309
719 0.515994 0.671766
720 0.516667 0.672222
721 0.517337 0.671290
722 0.518006 0.671745
723 0.518672 0.672199
724 0.517956 0.672652
725 0.518621 0.673103
726 0.519284 0.673554
727 0.518569 0.674003
728 0.519231 0.674451
729 0.518519 0.673525
730 0.519178 0.673973
731 0.519836 0.673051
732 0.520492 0.672131
733 0.521146 0.672578
734 0.521798 0.673025
735 0.521088 0.672109
736 0.520380 0.671196
737 0.519674 0.671642
738 0.518970 0.672087
739 0.519621 0.671177
740 0.518919 0.671622
741 0.519568 0.670715
742 0.520216 0.671159
743 0.520861 0.671602
744 0.520161 0.672043
745 0.520805 0.672483
746 0.521448 0.672922
747 0.522088 0.673360
748 0.521390 0.673797
749 0.520694 0.674232
750 0.520000 0.673333
751 0.520639 0.672437
752 0.519947 0.672872
753 0.519256 0.671979
754 0.519894 0.672414
755 0.519205 0.671523
756 0.518519 0.670635
757 0.519155 0.671070
758 0.519789 0.670185
759 0.520422 0.670619
760 0.519737 0.671053
761 0.520368 0.671485
762 0.519685 0.670604
763 0.519004 0.671035
764 0.518325 0.670157
765 0.517647 0.670588
766 0.518277 0.671018
767 0.517601 0.671447
768 0.516927 0.671875
769 0.516255 0.672302
770 0.516883 0.671429
771 0.517510 0.671855
772 0.518135 0.672280
773 0.518758 0.672704
774 0.519380 0.671835
775 0.520000 0.672258
776 0.520619 0.672680
777 0.519949 0.673102
778 0.520566 0.673522
779 0.519897 0.673941
780 0.519231 0.674359
781 0.519846 0.673496
782 0.519182 0.672634
783 0.519796 0.673052
784 0.519133 0.672194
785 0.519745 0.671338
786 0.519084 0.670483
787 0.519695 0.670902
788 0.520305 0.670051
789 0.519645 0.669202
790 0.518987 0.669620
791 0.518331 0.668774
792 0.518939 0.669192
793 0.518285 0.669609
794 0.518892 0.670025
795 0.518239 0.670440
796 0.517588 0.669598
797 0.516939 0.668758
798 0.516291 0.667920
799 0.516896 0.667084
800 0.516250 0.667500
801 0.515605 0.666667
802 0.516209 0.667082
803 0.516812 0.666252
804 0.516169 0.665423
805 0.515528 0.665839
806 0.514888 0.666253
807 0.515489 0.666667
808 0.514851 0.665842
809 0.514215 0.666255
810 0.513580 0.666667
811 0.514180 0.665845
812 0.513547 0.665025
813 0.512915 0.665437
814 0.513514 0.665848
815 0.512883 0.666258
816 0.512255 0.666667
817 0.512852 0.667075
818 0.513447 0.667482
819 0.512821 0.667888
820 0.512195 0.667073
821 0.511571 0.667479
822 0.510949 0.667883
823 0.511543 0.668287
824 0.510922 0.667476
825 0.511515 0.667879
826 0.510896 0.667070
827 0.510278 0.667473
828 0.510870 0.667874
829 0.511460 0.668275
830 0.510843 0.667470
831 0.511432 0.666667
832 0.510817 0.667067
833 0.511405 0.667467
834 0.511990 0.666667
835 0.511377 0.667066
836 0.510766 0.666268
837 0.510155 0.666667
838 0.510740 0.667064
839 0.511323 0.666269
840 0.511905 0.665476
841 0.512485 0.665874
842 0.511876 0.666271
843 0.511269 0.666667
844 0.510664 0.667062
845 0.511243 0.667456
846 0.510638 0.667849
847 0.511216 0.667060
848 0.511792 0.667453
849 0.512367 0.666667
850 0.511765 0.667059
851 0.511163 0.667450
852 0.510563 0.667840
853 0.511137 0.668230
854 0.511710 0.667447
855 0.511111 0.666667
856 0.511682 0.667056
857 0.511085 0.667445
858 0.511655 0.667832
859 0.512224 0.667055
860 0.512791 0.667442
861 0.513357 0.667828
862 0.513921 0.668213
863 0.514484 0.667439
864 0.513889 0.667824
865 0.513295 0.667052
866 0.512702 0.667436
867 0.513264 0.667820
868 0.513825 0.668203
869 0.513234 0.667434
870 0.513793 0.667816
871 0.513203 0.668197
872 0.513761 0.668578
873 0.514318 0.668958
874 0.514874 0.669336
875 0.514286 0.669714
876 0.514840 0.670091
877 0.515393 0.670468
878 0.515945 0.669704
879 0.515358 0.670080
880 0.515909 0.669318
