n UA_Search UA_Insert UA_Delete UA_Max UA_Min UA_Pred UA_Succ SA_Search SA_Insert SA_Delete SA_Max SA_Min SA_Pred SA_Succ SUL_Search SUL_Insert SUL_Delete SUL_Max SUL_Min SUL_Pred SUL_Succ SSL_Search SSL_Insert SSL_Delete SSL_Max SSL_Min SSL_Pred SSL_Succ DUL_Search DUL_Insert DUL_Delete DUL_Max DUL_Min DUL_Pred DUL_Succ DSL_Search DSL_Insert DSL_Delete DSL_Max DSL_Min DSL_Pred DSL_Succ
100 100.00 1.00 100.00 100.00 100.00 100.00 100.00 6.64 100.00 100.00 1.00 1.00 6.64 6.64 100.00 1.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 100.00 1.00 100.00 100.00 100.00 1.00 1.00 100.00 100.00 100.00 100.00 100.00 100.00 1.00 1.00 1.00 1.00 1.00
200 200.00 1.00 200.00 200.00 200.00 200.00 200.00 7.64 200.00 200.00 1.00 1.00 7.64 7.64 200.00 1.00 200.00 200.00 200.00 200.00 200.00 200.00 200.00 200.00 200.00 1.00 200.00 200.00 200.00 1.00 1.00 200.00 200.00 200.00 200.00 200.00 200.00 1.00 1.00 1.00 1.00 1.00
300 300.00 1.00 300.00 300.00 300.00 300.00 300.00 8.23 300.00 300.00 1.00 1.00 8.23 8.23 300.00 1.00 300.00 300.00 300.00 300.00 300.00 300.00 300.00 300.00 300.00 1.00 300.00 300.00 300.00 1.00 1.00 300.00 300.00 300.00 300.00 300.00 300.00 1.00 1.00 1.00 1.00 1.00
400 400.00 1.00 400.00 400.00 400.00 400.00 400.00 8.64 400.00 400.00 1.00 1.00 8.64 8.64 400.00 1.00 400.00 400.00 400.00 400.00 400.00 400.00 400.00 400.00 400.00 1.00 400.00 400.00 400.00 1.00 1.00 400.00 400.00 400.00 400.00 400.00 400.00 1.00 1.00 1.00 1.00 1.00
500 500.00 1.00 500.00 500.00 500.00 500.00 500.00 8.97 500.00 500.00 1.00 1.00 8.97 8.97 500.00 1.00 500.00 500.00 500.00 500.00 500.00 500.00 500.00 500.00 500.00 1.00 500.00 500.00 500.00 1.00 1.00 500.00 500.00 500.00 500.00 500.00 500.00 1.00 1.00 1.00 1.00 1.00
600 600.00 1.00 600.00 600.00 600.00 600.00 600.00 9.23 600.00 600.00 1.00 1.00 9.23 9.23 600.00 1.00 600.00 600.00 600.00 600.00 600.00 600.00 600.00 600.00 600.00 1.00 600.00 600.00 600.00 1.00 1.00 600.00 600.00 600.00 600.00 600.00 600.00 1.00 1.00 1.00 1.00 1.00
700 700.00 1.00 700.00 700.00 700.00 700.00 700.00 9.45 700.00 700.00 1.00 1.00 9.45 9.45 700.00 1.00 700.00 700.00 700.00 700.00 700.00 700.00 700.00 700.00 700.00 1.00 700.00 700.00 700.00 1.00 1.00 700.00 700.00 700.00 700.00 700.00 700.00 1.00 1.00 1.00 1.00 1.00
800 800.00 1.00 800.00 800.00 800.00 800.00 800.00 9.64 800.00 800.00 1.00 1.00 9.64 9.64 800.00 1.00 800.00 800.00 800.00 800.00 800.00 800.00 800.00 800.00 800.00 1.00 800.00 800.00 800.00 1.00 1.00 800.00 800.00 800.00 800.00 800.00 800.00 1.00 1.00 1.00 1.00 1.00
900 900.00 1.00 900.00 900.00 900.00 900.00 900.00 9.81 900.00 900.00 1.00 1.00 9.81 9.81 900.00 1.00 900.00 900.00 900.00 900.00 900.00 900.00 900.00 900.00 900.00 1.00 900.00 900.00 900.00 1.00 1.00 900.00 900.00 900.00 900.00 900.00 900.00 1.00 1.00 1.00 1.00 1.00
1000 1000.00 1.00 1000.00 1000.00 1000.00 1000.00 1000.00 9.97 1000.00 1000.00 1.00 1.00 9.97 9.97 1000.00 1.00 1000.00 1000.00 1000.00 1000.00 1000.00 1000.00 1000.00 1000.00 1000.00 1.00 1000.00 1000.00 1000.00 1.00 1.00 1000.00 1000.00 1000.00 1000.00 1000.00 1000.00 1.00 1.00 1.00 1.00 1.00
